project,text,actual_types,predicted_types,preprocessed_tokens
3,The system shall be able to display a printable summary for individual clinical sites which will include information on labs being held at that site for the given quarter (Clinical site general information on labs held at that location dates and times of all labs held there).,functional,availability|performance|scalability|usability,abl display printabl summari individu clinic site includ inform lab held site given quarter clinic site gener inform lab held locat date time lab held
3,The system shall be able to display a printable summary for individual clinical labs which will include (but not be limited to) class name class number lab section listing of students enrolled instructor day(s) time and location.,functional,availability|performance|scalability|usability,abl display printabl summari individu clinic lab includ limit class name class number lab section list student enrol instructor day time locat
3,The system shall be able to display a printable summary for individual nursing students which will include (but not be limited to) student name student ID admission date classes credits GPA and the cohort that the student is enrolled in.,functional,usability,abl display printabl summari individu nurs student includ limit student name student id admiss date class credit gpa cohort student enrol
3,The system shall be able to display a printable summary of the system log.,functional,usability,abl display printabl summari log
3,The system shall contain contact information (e-mail and phone number) for all people relevant to the system including (but not limited to) staff members students lecture instructors clinical lab instructors and clinical site administrators.,functional,scalability,contain contact inform e mail phone number peopl relev includ limit staff member student lectur instructor clinic lab instructor clinic site administr
3,The system will use the stored e-mail addresses as a primary means of communicating information to affected parties.,functional,look-and-feel|usability,use store e mail address primari mean commun inform affect parti
3,The system will notify affected parties for routine communication purposes including but not limited to informing students of upcoming offered classes (timeline) and what their schedule will be/shall be.,functional,functional,notifi affect parti routin commun purpos includ limit inform student upcom offer class timelin schedul
3,The system will notify affected parties when changes occur affecting clinicals including but not limited to clinical section capacity changes and clinical section cancellations.,functional,functional,notifi affect parti chang occur affect clinic includ limit clinic section capac chang clinic section cancel
3,The system will notify affected parties when changes occur affecting classes including but not limited to class cancellations class section detail changes and changes to class offerings for a given quarter.,functional,functional,notifi affect parti chang occur affect class includ limit class cancel class section detail chang chang class offer given quarter
3,The system will notify affected parties when changes occur affecting cohorts including but not limited to changes to the sequence for a cohort's program of study and changes to a given week's schedule (lab cancelled this week due to instructor illness).,functional,functional,notifi affect parti chang occur affect cohort includ limit chang sequenc cohort program studi chang given week schedul lab cancel week due instructor ill
3,The system will notify affected parties when changes occur affecting specific students including but not limited to changing a student's status from full time to part time and moving a student to a different clinical section.,functional,availability|performance,notifi affect parti chang occur affect specif student includ limit chang student statu full time part time move student differ clinic section
3,Program Administrators/Nursing Staff Members shall have the ability to modify information relating to cohorts including cohort identifier program of study preferred sequence of classes and quarters that a cohort will be taking specific classes.,functional,functional,program administr nurs staff member abil modifi inform relat cohort includ cohort identifi program studi prefer sequenc class quarter cohort take specif class
3,Program Administrators/Nursing Staff Members shall have the ability to modify information relating to a Program of Study within the Nursing Department including the Program of study name and required classes for that Program of Study.,functional,performance,program administr nurs staff member abil modifi inform relat program studi within nurs depart includ program studi name requir class program studi
3,Program Administrators/Nursing Staff Members shall have the ability to modify information relating to a Clinical Site including the clinical site name site contact person contact information and address.,functional,functional,program administr nurs staff member abil modifi inform relat clinic site includ clinic site name site contact person contact inform address
3,Program Administrators/Nursing Staff Members shall have the ability to modify information relating to a Clinical Lab Section including the clinical site name the department/section for the lab the class instructor day and time of lab and contact information.,functional,availability|performance,program administr nurs staff member abil modifi inform relat clinic lab section includ clinic site name depart section lab class instructor day time lab contact inform
3,Program Administrators/Nursing Staff Members shall have the ability to modify information relating to a Nursing Student including student ID student name phone number e-mail status (full time or part time) and program of study.,functional,availability|performance|scalability,program administr nurs staff member abil modifi inform relat nurs student includ student id student name phone number e mail statu full time part time program studi
