project,text,actual_types,predicted_types,preprocessed_tokens
4,The Disputes System must allow the user to create three unique types of ticket retrieval requests. The three types of ticket retrieval requests are (1) Request for original receipt (2) Request for a copy of the receipt or (3) Request for a portfolio. A portfolio consists of documentation that would provide proof of a purchase such as the documentation that is received from a car rental agency that is more than a sales receipt.,functional,look-and-feel|security|usability,disput allow user creat three uniqu type ticket retriev request three type ticket retriev request request origin receipt request copi receipt request portfolio portfolio consist document would provid proof purchas document receiv car rental agenc sale receipt
4,The Disputes System must prevent external users from requesting original receipts. Requests for original receipts are restricted to internal users.,security,look-and-feel|security|usability,disput prevent extern user request origin receipt request origin receipt restrict intern user
4,The Disputes System must provide a confirmation to the user upon the creation of ticket retrieval request that contains the following information; the dispute case number the type of retrieval requested (copy original or portfolio) and the date that the merchant response is due.,functional,look-and-feel|performance|scalability|security|usability,disput provid confirm user upon creation ticket retriev request contain follow inform disput case number type retriev request copi origin portfolio date merchant respons due
4,The Disputes System shall allow the user to create or initiate a chargeback request. The system must prompt the user to enter the required information to initiate a chargeback request. The chargeback request results in a printed chargeback notification that is sent to merchant indicating that their account will be charged back if no proof is provided that the disputed transaction is valid.,functional,look-and-feel|security|usability,disput allow user creat initi chargeback request prompt user enter requir inform initi chargeback request chargeback request result print chargeback notif sent merchant indic account charg back proof provid disput transact valid
4,The Disputes System must provide a confirmation to the user upon the creation of a chargeback request. The confirmation must contain the following information; the dispute case number the type of chargeback requested (pending or immediate) and the date that the merchant response is due.,functional,look-and-feel|performance|scalability|security|usability,disput provid confirm user upon creation chargeback request confirm contain follow inform disput case number type chargeback request pend immedi date merchant respons due
4,The Disputes System shall prevent the creation of duplicate dispute requests 100% of the time.,legal|maintainability,availability|performance,disput prevent creation duplic disput request time
4,The Disputes System shall accurately provide a list of possible reason codes for a given transaction. The list of possible reason codes must be derived based on the type of transaction and the industry that the merchant belongs to according to the business rules defined for the Disputes System.,legal|maintainability,functional,disput accur provid list possibl reason code given transact list possibl reason code deriv base type transact industri merchant belong accord busi rule defin disput
4,The Disputes System must provide the ability to view existing dispute cases.,functional,functional,disput provid abil view exist disput case
4,The Disputes System must provide Search functionality. The search method must include the ability to search by (1) the dispute case number (2) the merchant account number (3) the cardmember account number and (4) the issuer number. In addition to the above criteria the search functionality must further allow the user to limit the results of the search by a date range the type of dispute (ticket retrieval request or chargeback notification) the case status (open closed or all) and the dispute reason code.,functional,look-and-feel|scalability|security|usability,disput provid search function search method includ abil search disput case number merchant account number cardmemb account number issuer number addit criteria search function allow user limit result search date rang type disput ticket retriev request chargeback notif case statu open close disput reason code
4,A list of all disputes cases that meet the entered search criteria must be provided to the user. The list of cases must differentiate the type and/or status of the case by color -coding the line item in the list. For example all open cases will be yellow and all closed cases will be gray.,look-and-feel,look-and-feel|security|usability,list disput case meet enter search criteria provid user list case differenti type statu case color code line item list exampl open case yellow close case gray
4,The Disputes System shall provide the users the ability to view the history of all activities that have occurred on the dispute case.,functional,look-and-feel|security|usability,disput provid user abil view histori activ occur disput case
4,The Dispute System shall provide the users with the ability to follow up on a dispute case via follow-up actions. The list of available follow up actions for a given dispute case must be filtered by the status of the case and the access level of the user.,functional,availability|look-and-feel|security|usability,disput provid user abil follow disput case via follow action list avail follow action given disput case filter statu case access level user
4,The Disputes System shall record the name of the user and the date for any activity that creates or modifies the disputes case in the system. A detailed history of the actions taken on the case including the date and the user that performed the action must be maintained for auditing purposes.,functional,look-and-feel|security|usability,disput record name user date activ creat modifi disput case detail histori action taken case includ date user perform action maintain audit purpos
4,For any systematic (non-user initiated) action that occurs on a case such as the disputes aging process a case activity will be generated. Upon the next logon the user that initiated the dispute case must be notified that a systematic action has occurred on the dispute case.,functional,look-and-feel|scalability|security|usability,systemat non user initi action occur case disput age process case activ gener upon next logon user initi disput case notifi systemat action occur disput case
4,All letter requests must be formatted according to guidelines specified by the Print Letter Utility system.,legal|look-and-feel,functional,letter request format accord guidelin specifi print letter util
4,Any disputes cases that have been closed for over 6 months must be purged from the online disputes database.,functional,functional,disput case close month purg onlin disput databas
