project,text,actual_types,predicted_types,preprocessed_tokens
6,The product must be designed using Design Patterns and coding best practices. 90% of maintenance software developers are able to integrate new functionality into the product with 2 working days.,maintainability,look-and-feel|maintainability|usability,design use design pattern code best practic mainten softwar develop abl integr new function work day
6,The product must be highly configurable for use with various database management systems for the end users. 80% of end users are able to integrate new database management systems with the product without changing the product's software code.,maintainability,look-and-feel|maintainability|scalability|security|usability,highli configur use variou databas manag system end user end user abl integr new databas manag system without chang softwar code
6,Maintenance releases will be offered to customers once a year. The releases shall take no longer than 5 minutes for 80% of the customer base to install.,maintainability|performance,maintainability|performance,mainten releas offer custom year releas take longer minut custom base instal
6,Every registered user will have access to the product's support site via the Internet. 70% of registered users shall find a solution to their problem within 5 minutes of using the support site.,look-and-feel|security|usability,look-and-feel|operational|performance|scalability|security|usability,everi regist user access support site via internet regist user find solut problem within minut use support site
6,The customer shall be able to easily integrate new building maps with the product throughout the product's lifecycle. Integration of new maps with the product shall be possible with little to no support from product support staff.,maintainability,scalability|usability,custom abl easili integr new build map throughout lifecycl integr new map possibl littl support support staff
6,The product shall be translated into foreign languages other than the target market countries' languages in future releases. For each emerging target market it shall take no more than 5 days to configure the product for that market's language.,maintainability|scalability|usability,maintainability,translat foreign languag target market countri languag futur releas emerg target market take day configur market languag
6,The product is expected to integrate with multiple database management systems. The product will operate with Oracle SQL Server DB2 MySQL HSQL and MS Access.,operational,operational|security,expect integr multipl databas manag system oper oracl sql server db mysql hsql ms access
6,The product shall be able to be installed in any operating environment within 2 days.,operational,availability|operational|performance|usability,abl instal oper environ within day
6,The product shall ensure that only company employees or external users with company-approved user IDs may have product access. 100% of all logons shall be by either company employees or external users with company-approved user IDs.,security,look-and-feel|scalability|security|usability,ensur compani employe extern user compani approv user id may access logon either compani employe extern user compani approv user id
6,Only managers are able to perform search queries for reservations by user. 100% of all search queries for reservations by user shall be from logons of only management logons.,security,look-and-feel|scalability|security|usability,manag abl perform search queri reserv user search queri reserv user logon manag logon
6,The product shall ensure that the database's data corresponds to the data entered by the user. Each conference room reservation in the system will contain the same information as was entered by the user.,security,look-and-feel|scalability|security|usability,ensur databas data correspond data enter user confer room reserv contain inform enter user
6,The product shall prevent the input of malicious data. The product and/or adjacent hardware/software systems' data shall remain 100% uncorrupted each time malicious data is input into the product.,security,availability|performance|security,prevent input malici data adjac hardwar softwar system data remain uncorrupt time malici data input
6,The product and/or dependent databases/filesystems shall remain operational as a result of the input of malicious data. The product and/or dependent databases/filesystems shall not crash 100% of the time that malicious data is input into the product.,availability|security,availability|operational|performance,depend databas filesystem remain oper result input malici data depend databas filesystem crash time malici data input
6,The product shall have the ability to receive automatic software updates as new threats emerge. 100% of customers will be able to receive automatic software updates transmitted to the installed product.,maintainability|security,maintainability|usability,abil receiv automat softwar updat new threat emerg custom abl receiv automat softwar updat transmit instal
6,The language of the product shall accommodate all of the target market countries. 90% of survey respondents from each target market country will find that the language of the product is acceptable.,scalability|usability,functional,languag accommod target market countri survey respond target market countri find languag accept
6,The product shall be able to display calendar dates and times according to the user's locale. 90% of survey respondents from each target market country will find that the date and time formatting of the product is correct.,usability,availability|look-and-feel|performance|scalability|security|usability,abl display calendar date time accord user local survey respond target market countri find date time format correct
6,The product must be developed with the J2SE/J2EE programming language libraries,operational,functional,develop j se j ee program languag librari
6,The product shall record meeting entries.,functional,functional,record meet entri
6,The product will notify employees of meeting invitations.,functional,functional,notifi employe meet invit
6,The product shall have the ability to send meeting reminders to employees.,functional,functional,abil send meet remind employe
6,The product shall assign the organizers contact information to each meeting they create.,functional,legal,assign organ contact inform meet creat
6,The product will record meeting acknowledgements.,functional,functional,record meet acknowledg
6,The product shall store new conference rooms.,functional,functional,store new confer room
6,The product shall update existing conference rooms.,functional,maintainability,updat exist confer room
6,The product will be able to delete conference rooms.,functional,usability,abl delet confer room
6,The product shall be able to store new room equipment.,functional,usability,abl store new room equip
6,The product will update existing room equipment.,functional,maintainability,updat exist room equip
6,The product shall be able to delete room equipment.,functional,usability,abl delet room equip
6,The product shall allow an organizer to invite other employees to meetings.,functional,legal,allow organ invit employe meet
6,Each time a conference room is reserved the conference room schedule shall be updated to reflect the time and date of the reservation.,functional,availability|maintainability|performance,time confer room reserv confer room schedul updat reflect time date reserv
6,The product shall record the transportation status of equipment reserved.,functional,functional,record transport statu equip reserv
6,The product shall display a map of the company building showing conference room locations.,functional,functional,display map compani build show confer room locat
6,The product shall record updated meeting agendas.,functional,maintainability,record updat meet agenda
6,The product shall send a meeting confirmation to the meeting organizer.,functional,legal,send meet confirm meet organ
6,The product shall display room equipment according to search parameters.,functional,functional,display room equip accord search paramet
6,The product shall display conference rooms according to search parameters.,functional,functional,display confer room accord search paramet
6,The product shall record different meeting types.,functional,functional,record differ meet type
6,The product shall record all the equipment that has been reserved.,functional,functional,record equip reserv
6,The product shall notify building personnel of equipment transport requests.,functional,functional,notifi build personnel equip transport request
6,The product will allow priviledged users to view meeting schedules in multiple reporting views.,functional,look-and-feel|scalability|security|usability,allow priviledg user view meet schedul multipl report view
6,The product shall be able to send meeting notifications via different kinds of end-user specified methods.,functional,look-and-feel|scalability|security|usability,abl send meet notif via differ kind end user specifi method
6,The product shall have a customizable Look and Feel.,look-and-feel,look-and-feel,customiz look feel
6,The product shall have an intuitive user interface.,usability,look-and-feel|operational|scalability|security|usability,intuit user interfac
6,The product will display an available status for unreserved conference rooms.,functional,availability,display avail statu unreserv confer room
